"locus_tag","confidence","p-value","PDB_ID","SCOP_ID"
"Rv0196","CERT",1E-06,"2tct00","a.4.1.9"
"Rv0197","CERT",4E-10,"2napA2","NULL"
"Rv0198c","CERT",4E-10,"1dmtA0","d.92.1.4"
"Rv0199","LOW",0.022,"1lucA0","c.1.16.1"
"Rv0200","MEDIUM",0.008,"7reqB2","NULL"
"Rv0201c","LOW",0.032,"1mek00","c.47.1.2"
"Rv0202c","HIGH",0.0005,"1qflA1","NULL"
"Rv0203","LOW",0.063,"1eerB1","NULL"
"Rv0204c","LOW",0.021,"1mpyA1","NULL"
"Rv0205","MEDIUM",0.001,"1qtrA0","c.69.1.7"
"Rv0206c","HIGH",0.0002,"1gbnA0","c.67.1.4"
"Rv0207c","MEDIUM",0.003,"8abp00","c.93.1.1"
"Rv0208c","CERT",1E-06,"1vid00","c.66.1.1"
"Rv0209","CERT",5E-05,"1bfd00","c.31.1.3"
"Rv0210","HIGH",0.0002,"1drtA0","b.82.2.2"
"Rv0211","MEDIUM",0.004,"1cz1A0","c.1.8.3"
"Rv0212c","CERT",4E-05,"1iqpA2","NULL"
"Rv0213c","MEDIUM",0.003,"1bfd00","c.31.1.3"
"Rv0214","CERT",4E-10,"1amuA0","e.23.1.1"
"Rv0215c","CERT",7E-09,"1ivhA2","NULL"
"Rv0216","LOW",0.023,"1gewA0","c.67.1.1"
"Rv0217c","CERT",3E-07,"1qfmA2","NULL"
"Rv0218","LOW",0.011,"1ak500","c.1.5.1"
"Rv0219","LOW",0.03,"1mkaA0","d.38.1.2"
"Rv0220","CERT",8E-08,"1qfmA2","NULL"
"Rv0221","LOW",0.028,"2tct00","a.4.1.9"
"Rv0222","CERT",3E-09,"1ef8A0","c.14.1.3"
"Rv0223c","MEDIUM",0.003,"1bjnA0","c.67.1.4"
"Rv0224c","CERT",5E-07,"1fp2A2","NULL"
"Rv0225","CERT",5E-09,"1f0kA0","c.87.1.2"
"Rv0226c","CERT",3E-05,"2tpsA0","c.1.3.1"
"Rv0227c","GUESS",0.136,"1dw9A1","NULL"
"Rv0228","HIGH",0.0003,"1al300","c.94.1.1"
"Rv0229c","LOW",0.029,"1jevA0","c.94.1.1"
"Rv0230c","CERT",2E-09,"1pscA0","c.1.9.3"
"Rv0231","CERT",3E-08,"1is2A0","a.29.3.2"
"Rv0232","CERT",5E-07,"2tct00","a.4.1.9"
"Rv0233","CERT",6E-07,"1xikA0","a.25.1.2"
"Rv0234c","MEDIUM",0.004,"1c4xA0","c.69.1.10"
"Rv0235c","LOW",0.011,"1gajA0","c.37.1.12"
"Rv0236c","LOW",0.03,"2mcm00","b.1.7.1"
"Rv0237","MEDIUM",0.002,"1ecfA2","NULL"
"Rv0238","CERT",3E-07,"2tct00","a.4.1.9"
"Rv0239","LOW",0.086,"1qhaA0","c.55.1.3"
"Rv0240","LOW",0.049,"2nacA1","NULL"
"Rv0241c","LOW",0.021,"1qfhA0","b.1.18.10"
"Rv0242c","CERT",2E-08,"1cydA0","c.2.1.2"
"Rv0243","CERT",5E-09,"1qflA1","NULL"
"Rv0244c","CERT",1E-08,"1ivhA2","NULL"
"Rv0245","LOW",0.037,"1qauA0","b.36.1.1"
"Rv0246","MEDIUM",0.005,"1ebmA1","NULL"
"Rv0247c","CERT",6E-05,"1fumB2","NULL"
"Rv0248c","CERT",1E-08,"1fumA2","NULL"
"Rv0249c","HIGH",0.0006,"1eerB0","b.1.2.1"
"Rv0250c","LOW",0.067,"1pysB2","NULL"
"Rv0251c","MEDIUM",0.001,"1gmeD0","b.15.1.1"
"Rv0252","CERT",9E-09,"1lvl00","c.3.1.5"
"Rv0253","HIGH",0.0002,"1fqtA0","b.33.1.1"
"Rv0254c","HIGH",0.0001,"1bfd01","NULL"
"Rv0255c","CERT",3E-07,"1byi00","c.37.1.10"
"Rv0256c","LOW",0.019,"1xikA0","a.25.1.2"
"Rv0257c","GUESS",0.304,"1js6A0","c.67.1.6"
"Rv0258c","LOW",0.01,"2tpsA0","c.1.3.1"
"Rv0259c","CERT",7E-06,"1qgoA0","c.92.1.2"
"Rv0260c","HIGH",0.0007,"1a04A0","a.4.6.2"
"Rv0261c","LOW",0.042,"2tct00","a.4.1.9"
"Rv0262c","CERT",3E-05,"1qsmA0","d.108.1.1"
"Rv0263c","MEDIUM",0.003,"1mpyA1","NULL"
"Rv0264c","LOW",0.067,"1dn2A1","NULL"
"Rv02565c","CERT",6E-08,"1efdN0","c.92.2.1"
"Rv0266c","MEDIUM",0.003,"1fnnA2","NULL"
"Rv0267","MEDIUM",0.003,"1dxy00","c.2.1.4"
"Rv0268c","LOW",0.028,"1mla02","NULL"
"Rv0269c","MEDIUM",0.007,"1fohA5","NULL"
"Rv0270","CERT",6E-10,"1amuA0","e.23.1.1"
"Rv0271c","CERT",5E-08,"1ivhA2","NULL"
"Rv0272c","CERT",1E-06,"1qtrA0","c.69.1.7"
"Rv0273c","CERT",2E-06,"1jusE0","a.4.1.9"
"Rv0274","CERT",2E-06,"1mpyA2","NULL"
"Rv0275","CERT",3E-06,"2tct00","a.4.1.9"
"Rv0276","MEDIUM",0.002,"1g8pA0","c.37.1.20"
"Rv0277c","MEDIUM",0.002,"1fr9A0","c.68.1.8"
"Rv0278c","MEDIUM",0.001,"1ecxA0","c.67.1.3"
"Rv0279c","CERT",3E-05,"1io1A0","e.32.1.1"
"Rv0280","MEDIUM",0.005,"1qqp10","b.121.4.1"
"Rv0281","MEDIUM",0.003,"2tct00","a.4.1.9"
"Rv0282","CERT",8E-08,"1in4A2","NULL"
"Rv0283","LOW",0.09,"1f0xA2","NULL"
"Rv0284","MEDIUM",0.003,"1c3qA0","c.72.1.2"
"Rv0285","LOW",0.047,"1a2zA0","c.56.4.1"
"Rv0286","MEDIUM",0.009,"1fonA0","b.47.1.2"
"Rv0287","LOW",0.062,"1lywA0","NULL"
"Rv0288","LOW",0.049,"1qrjB1","NULL"
"Rv0289","LOW",0.094,"1dupA0","b.85.4.1"
"Rv0290","MEDIUM",0.003,"1ezwA0","c.1.16.3"
"Rv0291","CERT",4E-09,"1gci00","c.41.1.1"
"Rv0292","HIGH",0.0008,"2tct00","a.4.1.9"
"Rv0293c","CERT",1E-07,"1bn6A0","c.69.1.8"
"Rv0294","CERT",1E-05,"1fp2A2","NULL"
"Rv0295c","LOW",0.023,"1dqyA0","c.69.1.3"
"Rv0296c","CERT",5E-08,"1fsu00","c.76.1.2"
"Rv0297","HIGH",0.0001,"1f00I0","b.1.14.1"
"Rv0298","LOW",0.055,"1pru00","a.35.1.5"
"Rv0299","LOW",0.072,"1jztA0","c.104.1.1"
"Rv0300","LOW",0.046,"1ecmA0","a.130.1.1"
"Rv0301","LOW",0.048,"2tct01","NULL"
"Rv0302","CERT",2E-06,"2tct00","a.4.1.9"
"Rv0303","CERT",3E-08,"1cydA0","c.2.1.2"
"Rv0304","CERT",1E-06,"1a6cA0","b.121.4.2"
"Rv0305c","HIGH",0.0002,"1ihmA0","b.121.4.3"
"Rv0306","CERT",2E-08,"1vfrA0","d.90.1.1"
"Rv0307c","LOW",0.071,"1dxy02","NULL"
"Rv0308","CERT",4E-06,"1d2tA0","a.111.1.1"
"Rv0309","LOW",0.056,"1who00","b.7.3.1"
"Rv0310c","LOW",0.021,"1uteA0","d.159.1.1"
"Rv0311","LOW",0.031,"1f5sA0","c.108.1.4"
"Rv0312","CERT",7E-09,"1jceA0","c.55.1.1"
"Rv0313","LOW",0.031,"1qfhA1","NULL"
"Rv0314c","MEDIUM",0.005,"1a34A0","b.121.7.1"
"Rv0315","CERT",5E-06,"1dypA0","b.29.1.2"
"Rv0316","HIGH",0.0004,"1mli00","NULL"
"Rv0317c","MEDIUM",0.002,"2tct00","a.4.1.9"
"Rv0318c","MEDIUM",0.009,"1mun00","a.96.1.2"
"Rv0319","CERT",3E-08,"1a2zA0","c.56.4.1"
"Rv0320","LOW",0.06,"1c3qA0","c.72.1.2"
"Rv0321","CERT",7E-05,"1dupA0","b.85.4.1"
"Rv0322","CERT",4E-08,"1bg600","a.100.1.5"
"Rv0323c","MEDIUM",0.002,"2thiA0","c.94.1.1"
"Rv0324","CERT",7E-06,"1e0cA0","c.46.1.2"
"Rv0325","LOW",0.068,"1dusA0","c.66.1.4"
"Rv0326","MEDIUM",0.002,"1j4fA0","None"
"Rv0327c","CERT",2E-09,"1dt6A0","a.104.1.1"
"Rv0328","CERT",5E-07,"2tct00","a.4.1.9"
"Rv0329c","CERT",7E-07,"1dusA0","c.66.1.4"
"Rv0330c","CERT",3E-06,"2tct00","a.4.1.9"
"Rv0331","CERT",6E-08,"1lvl00","c.3.1.5"
"Rv0332","LOW",0.047,"1qtmA1","NULL"
"Rv0333","LOW",0.021,"8abp00","c.93.1.1"
"Rv0334","CERT",3E-08,"1fwyA0","b.81.1.4"
"Rv0335c","GUESS",0.128,"1gbnA0","c.67.1.4"
"Rv0336","MEDIUM",0.001,"1a5300","c.1.2.4"
"Rv0337c","CERT",1E-09,"1d2fA0","c.67.1.3"
"Rv0338c","HIGH",0.0003,"1fumB1","NULL"
"Rv0339c","CERT",3E-05,"1qsaA1","NULL"
"Rv0340","LOW",0.062,"1ak500","c.1.5.1"
"Rv0341","CERT",6E-05,"1c1gB0","NULL"
"Rv0342","CERT",3E-06,"1jwyB0","c.37.1.8"
"Rv0343","HIGH",0.0003,"2tct00","a.4.1.9"
"Rv0344c","LOW",0.012,"1qr4B0","NULL"
"Rv0345","CERT",2E-05,"1g97A2","NULL"
"Rv0346","CERT",9E-05,"1f1oA0","NULL"
"Rv0347","LOW",0.09,"2tpsA0","c.1.3.1"
"Rv0348","MEDIUM",0.002,"1jusE0","a.4.1.9"
"Rv0349","LOW",0.081,"1inp00","e.7.1.1"
"Rv0350","CERT",3E-08,"1jceA0","c.55.1.1"
"Rv0351","LOW",0.039,"1qu7A0","h.4.5.1"
"Rv0352","CERT",1E-06,"1c3gA0","b.4.1.1"
"Rv0353","MEDIUM",0.001,"1jbgA0","a.6.1.3"
"Rv0354c","GUESS",0.105,"1d2kA2","NULL"
"Rv0355c","CERT",6E-05,"1ja5A0","None"
"Rv0356c","GUESS",0.113,"1ivyA0","c.69.1.5"
"Rv0357c","MEDIUM",0.003,"1gc5A0","c.72.1.3"
"Rv0358","MEDIUM",0.004,"1f0xA2","NULL"
"Rv0359","HIGH",0.0005,"1qaxA2","NULL"
"Rv0360c","MEDIUM",0.01,"2myo00","d.211.1.1"
"Rv0361","HIGH",0.0004,"1f0iA2","NULL"
"Rv0362","MEDIUM",0.004,"1f5mB0","d.110.2.1"
"Rv0363c","CERT",4E-09,"1dosA0","c.1.10.2"
"Rv0364","MEDIUM",0.004,"1qfmA2","NULL"
"Rv0365c","MEDIUM",0.002,"2tct00","a.4.1.9"
"Rv0366c","MEDIUM",0.004,"1qf9A0","c.37.1.1"
"Rv0367c","LOW",0.014,"1bkrA0","a.40.1.1"
"Rv0368c","MEDIUM",0.003,"1j79A0","c.1.9.4"
"Rv0369c","MEDIUM",0.003,"1fo4A4","NULL"
"Rv0370c","CERT",1E-07,"1g8pA0","c.37.1.20"
"Rv0371c","CERT",3E-08,"1fr9A0","c.68.1.8"
"Rv0372c","HIGH",0.0003,"1gdhA2","NULL"
"Rv0373c","CERT",2E-09,"1fo4A5","NULL"
"Rv0374c","CERT",9E-05,"1fo4A1","NULL"
"Rv0375c","CERT",6E-07,"1fo4A6","NULL"
"Rv0376c","CERT",6E-05,"1psdA0","c.2.1.4"
"Rv0377","CERT",2E-07,"1al300","c.94.1.1"
"Rv0378","GUESS",0.202,"1dp0A3","NULL"
"Rv0379","GUESS",0.13,"1gnd00","c.3.1.3"
"Rv0380c","HIGH",0.0002,"2tpsA0","c.1.3.1"
"Rv0381c","LOW",0.069,"1k0sA0","b.40.7.1"
"Rv0382c","CERT",5E-07,"1qb7A0","c.61.1.1"
"Rv0383c","LOW",0.069,"1ebmA2","NULL"
"Rv0384c","CERT",1E-08,"1in4A2","NULL"
"Rv0385","CERT",2E-08,"1qfjA0","b.43.4.2"
"Rv0386","CERT",3E-07,"1a5t00","a.80.1.1"
"Rv0387c","LOW",0.014,"1al300","c.94.1.1"
"Rv0388c","LOW",0.039,"2rspB0","b.50.1.1"
"Rv0389","CERT",1E-09,"1bncA0","b.84.2.1"
"Rv0390","CERT",1E-05,"1e0cA1","NULL"
"Rv0391","CERT",1E-08,"1ecxA0","c.67.1.3"
"Rv0392c","CERT",2E-09,"1lvl00","c.3.1.5"
"Rv0393","MEDIUM",0.005,"1bykA0","c.93.1.1"
"Rv0394c","HIGH",0.0001,"2tct00","a.4.1.9"
"Rv0395","LOW",0.099,"1bfd02","NULL"
"Rv0396","LOW",0.016,"1ecsA0","d.32.1.2"
"Rv0397","LOW",0.064,"1mdyA0","a.38.1.1"
"Rv0398c","GUESS",0.198,"1f0xA2","NULL"
"Rv0399c","CERT",2E-08,"1gceA0","e.3.1.1"
"Rv0400c","CERT",7E-09,"1ivhA2","NULL"
"Rv0401","LOW",0.013,"2uagA1","NULL"
"Rv0402c","MEDIUM",0.002,"2ts100","c.26.1.1"
"Rv0403c","MEDIUM",0.01,"1mfmA0","b.1.8.1"
"Rv0404","CERT",1E-09,"1amuA0","e.23.1.1"
"Rv0405","CERT",2E-09,"1mla00","c.19.1.1"
"Rv0406c","CERT",5E-08,"1a7tA0","d.157.1.1"
"Rv0407","CERT",1E-09,"1ezwA0","c.1.16.3"
"Rv0408","MEDIUM",0.001,"2tct00","a.4.1.9"
"Rv0409","CERT",8E-10,"1g99A0","c.55.1.2"
"Rv0410c","CERT",4E-07,"1fmk03","NULL"
"Rv0411c","CERT",1E-08,"1lst00","c.94.1.1"
"Rv0412c","MEDIUM",0.001,"2tct00","a.4.1.9"
"Rv0413","HIGH",0.0002,"1f3yA0","d.113.1.1"
"Rv0414c","CERT",1E-08,"2tpsA0","c.1.3.1"
"Rv0415","CERT",4E-07,"1c0pA1","NULL"
"Rv0416","HIGH",0.0005,"1f0zA0","d.15.3.2"
"Rv0417","CERT",1E-07,"2tpsA0","c.1.3.1"
"Rv0418","CERT",2E-08,"1cx8B0","a.48.2.1"
"Rv0419","GUESS",0.229,"1qf6A2","NULL"
"Rv0420c","GUESS",0.261,"1uxc00","NULL"
"Rv0421c","CERT",1E-05,"1qfmA2","NULL"
"Rv0422c","CERT",3E-08,"1c3qA0","c.72.1.2"
"Rv0423c","MEDIUM",0.002,"1c0nA0","c.67.1.3"
"Rv0424c","LOW",0.036,"1ec7A2","NULL"
"Rv0425c","CERT",2E-06,"1f5sA0","c.108.1.4"
"Rv0426c","MEDIUM",0.008,"1dugA1","NULL"
"Rv0427c","CERT",7E-09,"1ako00","d.151.1.1"
"Rv0428c","HIGH",0.0004,"1qsmA0","d.108.1.1"
"Rv0429c","CERT",3E-05,"1jymA0","d.167.1.1"
"Rv0430","LOW",0.024,"1mun00","a.96.1.2"
"Rv0431","MEDIUM",0.003,"7reqA2","NULL"
"Rv0432","CERT",2E-06,"1mfmA0","b.1.8.1"
"Rv0433","MEDIUM",0.006,"1fmk03","NULL"
"Rv0434","MEDIUM",0.006,"1eerB1","NULL"
"Rv0435c","CERT",2E-09,"1e32A0","b.52.2.3"
