snp-dists 0.8.2	NC_009497	227	GCA_018594715	GCA_029989345	GCA_001929505	SRR10958111	243-B21	GCA_009857975	GCA_009850655	GCA_018591955	GCA_018593635	SRR10958115	GCA_018591875	GCA_018593955	GCA_018593495	GCA_018594075	GCA_009851735	SRR10958113	GCA_020423375	GCA_018592115	GCA_018591815	GCA_029536715	SRR10958193	GCA_003354265	240	GCA_009850125	GCA_009849885	GCA_016453825	GB000944	GCA_018592295	GCA_018594215	222A	SRR17119145	234	GCA_018593675	GCA_016452465	GCA_018593735	GCA_018593745	GCA_020422985	GCA_018591855	SRR10958101	GCA_018594415	GCA_009850225	GCA_000219375	GCA_029855505	GCA_018593195	GCA_018592415	GCA_018592085	GCA_009850275	GCA_018594025	GCA_009850905	223	GCA_016452865	GCA_018592055	GCA_016453185	GCA_013423725	228	GCA_016452745	SCOT3	GCA_009850255	GCA_018592555	GCA_018594295	GCA_009850175	SRR10958130	GCA_016453325	245	GCA_018591835	SRR20305655	GCA_018591965	GCA_018591995	GCA_016453045	GCA_029989505	SCOT2	GCA_016452845	SRR20305624	GCA_011996525	GCA_009850405	GCA_009851565	GCA_018592175	SRR12686435	GCA_009849005	GCA_009852155	GCA_018593615	GB18000923	GCA_009156025	230-B21	SRR12673179	GCA_029855745	GCA_009849495	GCA_009850305	GCA_009850365	GCA_009849845	GCA_018592815	GCA_029855765	GCA_009848995	GCA_001930225	GCA_020423725	SRR3954761	SRR3954835	GCA_018592155	SCOT4	GCA_009849055	221	GCA_009851965	SRR12673135	224	241	GB18001319	SCOT1	SRR17119177	GCA_003354305	GCA_000183385	GCA_016453545	GCA_009850185	GCA_018593515	GCA_009850755	GCA_009850065	SRR12674172	GCA_003354425	GCA_018592275	GCA_009851545	226-B21	GCA_009848695	GCA_018593395	GCA_016452505	GCA_018594125	SRR17119126	GCA_029855805	229-B21	GCA_009849465	GCA_009848775	GB17005644	GCA_018593755	GCA_009850675	GCA_009852305	GCA_003354285	GCA_009851715	GCA_018593965	224B21	GCA_029855485	GCA_018593995
GCA_018593635	45686	2355	1795	4234	1772	5092	2289	7964	7360	2249	0	2971	2175	1641	1410	1383	3761	2982	2430	1476	4196	1441	2979	4231	3002	1312	4778	2572	2997	1304	1485	3024	1967	2931	5172	3390	669	3284	2786	1717	2388	4914	1236	1193	2635	1559	2246	2803	4387	2161	3685	2994	3866	4964	2464	2781	3014	2366	3021	2373	1425	2954	966	2984	1766	2288	1790	4204	2074	3034	2985	2986	3022	2162	4175	1835	7311	5211	1926	2274	6232	1519	1773	2996	4212	2994	2254	4285	9030	2228	4781	2753	2919	2229	1228	2019	2597	1148	1186	1374	2986	2408	2998	1503	2253	2989	2178	2149	2984	1894	2254	4992	3844	2543	1574	7526	3561	2250	1682	1974	1890	3014	2024	3421	2735	3348	1835	4625	2994	8369	2783	3000	1560	8899	1776	1605	4891	1305	2996	2984	1774
SRR10958115	45220	1283	1682	3061	2595	4197	1056	7533	6862	1642	2971	0	2291	2152	1926	3740	5309	27	1213	2291	3308	3292	40	3121	58	3207	5308	1377	41	3306	2452	78	2430	44	4567	2571	3069	3799	1546	3138	1180	5280	3545	3599	1644	3305	1650	3682	2998	2815	2793	53	3186	3801	1981	3029	60	1384	67	2092	2007	2527	3111	24	1977	1055	1919	2979	3131	3060	1490	35	67	1088	2970	3818	6453	5137	3101	1034	6141	2945	3088	38	2988	40	1011	3404	9306	1518	3733	3439	2868	992	3619	1691	1222	3566	3641	2415	34	4494	46	3605	1010	82	1136	1158	29	2565	1923	4101	3086	3942	1569	6760	3302	1013	3607	2431	3076	59	2441	3253	1670	3871	3821	3290	41	8042	4638	51	2125	9215	2782	2165	4716	1877	42	40	2002
GCA_018591875	45539	1599	2301	3570	1994	4519	1710	7695	6828	2054	2175	2291	0	2372	1948	2760	4891	2297	1875	1846	3790	2728	2298	3444	2324	2799	5223	2153	2314	2484	2051	2341	2194	2272	4360	2850	2126	3397	1753	2996	1947	4851	2740	2715	2299	2577	1904	2869	3716	2601	3219	2311	3318	3985	2164	3112	2332	1639	2340	770	1820	2995	2739	2302	1951	1709	2214	3555	2696	2798	2681	2308	2341	1610	3538	3147	7005	4976	2696	1688	6203	2646	2840	2312	3561	2313	1665	3880	9338	1836	3896	2840	3179	1648	2751	2177	2046	2667	2727	1856	2307	3736	2319	2943	1664	2300	1560	1541	2303	2669	2520	4417	3213	3047	1836	6979	3055	1669	2926	2201	2467	2330	2423	3546	2012	3345	3154	3445	2313	8071	3957	2322	2118	9211	2314	2502	4741	1832	2310	2308	2185
GCA_018593955	45598	1678	1185	3782	1801	4760	1788	7685	7041	1326	1641	2152	2372	0	1309	2246	4068	2164	2070	1238	3595	1598	2161	3700	2182	1953	4768	2125	2179	1696	1846	2214	1731	2139	4743	2848	1812	3257	2295	2296	1811	4437	1801	1865	2169	2180	1607	3332	3771	1897	3294	2176	3337	4398	2182	2184	2185	1986	2207	2386	1118	2165	1703	2169	1460	1787	874	3759	1882	2793	2469	2168	2208	1792	3737	2454	6785	5011	1849	1773	5715	2173	2044	2177	3770	2178	1753	3677	9370	1766	3912	2700	2255	1726	1852	1595	2106	1816	1865	1433	2174	3118	2178	2227	1752	2166	1654	1621	2166	1776	1089	4659	3269	2475	1199	7175	3155	1749	2236	1738	1727	2195	1636	2423	2426	2998	2461	3716	2178	8073	3543	2179	1118	9229	1248	2023	4772	1265	2179	2161	1422
GCA_018593495	45513	1478	689	3752	1433	4588	1206	7650	7011	1060	1410	1926	1948	1309	0	2257	4452	1935	1529	1159	3881	2109	1932	3675	1953	2113	5454	1684	1950	2233	1390	1986	1404	1883	5184	3017	1468	3081	1712	2373	1303	4967	2265	2301	1578	2561	1382	3538	3755	1700	3383	1946	3572	4387	1861	2441	1968	1583	1975	1822	518	2438	1763	1936	972	1205	774	3721	2314	3183	2480	1940	1975	1233	3706	2676	6747	5079	2204	1193	6094	2476	2116	1948	3731	1943	1170	3970	9339	1439	4282	2433	2742	1144	2309	1470	1614	2267	2321	1091	1940	3366	1949	2544	1169	1932	1365	1361	1938	1623	1566	4481	3489	2677	412	7245	3353	1166	2778	1404	2149	1967	1548	2882	2156	2978	2676	3962	1944	8038	3493	1951	801	9194	1642	1657	4928	52	1945	1944	703
GCA_018594075	45314	3237	2487	4789	1990	5553	3247	8060	7429	2728	1383	3740	2760	2246	2257	0	3324	3748	3394	1864	4737	956	3749	4929	3755	1447	4222	3374	3766	1114	2060	3793	2410	3694	5279	3613	987	3233	3651	1883	3297	4377	765	716	3575	1761	2670	2837	5049	2835	4290	3762	4042	5439	3205	2403	3772	3162	3794	3053	2197	3408	1091	3753	2383	3246	2341	4776	1760	2881	3355	3757	3795	3112	4749	2177	7225	5208	1710	3234	6123	1231	1113	3764	4785	3759	3214	4847	8930	3154	5075	2850	2560	3192	773	2780	3372	680	714	1974	3763	2166	3765	1119	3213	3759	3147	3126	3749	2170	2331	5450	4025	2011	2615	7655	3806	3203	1389	2417	1747	3780	1937	3417	3479	3180	2183	4939	3759	8290	2453	3766	2057	8792	1514	2347	4934	2158	3760	3748	2109
GCA_009851735	45429	5046	4425	6247	4030	6906	5201	5532	5513	4624	3761	5309	4891	4068	4452	3324	0	5322	5326	4066	6156	2974	5318	6079	5332	3677	5673	4931	5335	3256	4317	5361	4286	5269	6586	4474	3423	5030	5440	3805	5245	5949	2914	2870	5494	3764	4607	4498	6156	4594	5367	5306	4884	6759	4784	4623	5338	4718	5363	4926	4313	5128	3397	5326	3921	5200	4351	6227	3813	4811	4278	5326	5369	5185	6183	4113	6377	6603	3755	5187	5752	3248	3399	5337	6243	5330	5171	6285	7486	5238	6453	4609	4754	5144	2854	4650	5304	2858	2884	4307	5322	3245	5336	2936	5170	5344	5143	5134	5314	4181	4043	6805	4805	4176	4595	6388	5421	5158	3467	4293	3750	5348	3976	4749	4917	5144	4119	6471	5325	7298	3740	5336	4054	7384	3378	4311	5638	4330	5329	5311	4176
SRR10958113	45499	1296	1692	3059	2607	4223	1047	7577	6904	1653	2982	27	2297	2164	1935	3748	5322	0	1223	2303	3333	3303	27	3145	39	3217	5333	1387	22	3316	2505	59	2443	25	4579	2575	3082	3812	1560	3154	1189	5305	3556	3610	1656	3316	1654	3693	3020	2829	2815	37	3191	3832	1972	3042	43	1394	54	2101	2018	2538	3123	13	1968	1046	1929	3003	3142	3075	1491	14	54	1100	2993	3832	6495	5143	3113	1046	6190	2956	3098	21	3012	20	1023	3426	9352	1528	3777	3449	2875	1004	3630	1703	1234	3575	3652	2427	22	4505	27	3616	1022	69	1149	1171	16	2575	1933	4125	3092	3947	1579	6811	3325	1025	3619	2443	3090	40	2469	3261	1690	3879	3836	3330	21	8098	4649	32	2137	9249	2793	2174	4759	1888	23	27	2012
GCA_020423375	45606	1005	1616	3442	2673	3983	591	7753	6856	1663	2430	1213	1875	2070	1529	3394	5326	1223	0	2257	3588	3326	1221	3356	1253	2961	5618	1245	1238	3116	2374	1274	2581	1173	4778	2699	2648	4000	1084	3417	591	5472	3424	3481	1196	3080	1694	3992	3259	2933	2766	1235	3304	3993	1579	3319	1259	976	1264	1683	1821	2611	2661	1223	1756	590	1459	3409	3420	3357	2008	1232	1264	499	3391	3832	6875	5196	3283	567	6131	3008	3153	1237	3416	1237	544	3678	9367	892	3904	3441	2978	527	3487	1834	1057	3421	3497	2087	1228	4215	1242	3468	543	1209	713	721	1226	2336	1985	3877	3213	3762	1221	6904	3559	546	3572	2581	2981	1256	2374	3342	1480	3667	3834	3319	1238	8155	4386	1245	2042	9243	2662	1723	4870	1473	1239	1237	2004
GCA_018592115	45465	1952	1085	3807	983	4950	2041	7716	6973	1254	1476	2291	1846	1238	1159	1864	4066	2303	2257	0	3966	1629	2299	4023	2321	1823	4872	2359	2318	1525	1263	2345	1396	2252	4849	3002	1355	2640	2550	1684	2088	4409	1691	1675	2377	2040	1169	2767	4043	1563	3521	2315	3590	4547	2354	2299	2336	2118	2339	1958	664	2479	1624	2308	1473	2040	1271	3789	1841	2559	2571	2307	2340	1936	3777	2227	6770	5049	1789	2031	5963	1934	2034	2316	3800	2311	2008	4048	9367	2002	4406	2359	2330	1981	1728	1422	2267	1660	1699	648	2313	2969	2317	2093	2007	2292	1880	1873	2305	1992	1609	4845	3507	2135	1290	7253	3274	2003	2213	1403	1604	2334	1285	2637	2484	2843	2233	4262	2311	8021	3301	2317	978	9225	1281	2284	4424	1061	2312	2311	1187
GCA_018591815	44734	3473	3721	602	3645	3362	3788	6653	6369	3656	4196	3308	3790	3595	3881	4737	6156	3333	3588	3966	0	4617	3316	2371	3352	4381	4934	2935	3350	4649	4181	3376	4067	3330	5118	2936	4399	4849	3312	3861	3555	4625	4684	4715	4074	4838	4189	3463	1144	3890	678	3350	2969	3263	2613	4251	3353	3170	3371	3823	3727	4761	4356	3332	3527	3787	3655	520	4168	3558	2960	3339	3372	3620	507	4264	6281	5549	4212	3778	6468	4711	4733	3347	522	3341	3763	69	8994	3132	3394	4756	4413	3677	4622	3331	3304	4626	4666	3743	3329	5649	3347	4970	3762	3377	3466	3500	3328	4177	4160	3268	2917	3878	3912	6322	2512	3756	5024	4074	3766	3355	4238	4856	2548	5075	4264	3462	3342	7782	5230	3351	3777	8901	3927	4205	5801	3731	3342	3331	4115
GCA_029536715	45630	2939	2092	4645	1719	5559	3019	7831	7275	2307	1441	3292	2728	1598	2109	956	2974	3303	3326	1629	4617	0	3301	4553	3311	1218	4377	3171	3316	729	1822	3344	2003	3244	5087	3319	1175	3147	3424	1898	3071	4419	393	336	3361	1419	2379	2845	4742	2360	4140	3312	3913	5330	3157	2386	3321	3016	3347	2873	1873	2977	1163	3306	1954	3018	1971	4620	1217	2590	3047	3309	3347	3046	4583	1974	6915	5228	1157	3012	5831	1069	1287	3314	4633	3309	2992	4718	8983	2950	4845	2543	2524	2965	393	2567	3141	317	341	1881	3312	1935	3314	738	2991	3308	2858	2858	3300	1699	1498	5458	3842	1505	2383	7419	3520	2981	1099	2008	1268	3331	1416	2935	3405	3216	1980	4727	3310	8130	2464	3316	1650	8849	964	2024	4753	2051	3311	3292	1859
SRR10958193	45215	1293	1689	3069	2605	4208	1066	7539	6867	1651	2979	40	2298	2161	1932	3749	5318	27	1221	2299	3316	3301	0	3130	60	3215	5316	1381	43	3314	2460	80	2440	46	4574	2588	3077	3806	1558	3151	1186	5289	3555	3608	1653	3314	1656	3693	3006	2824	2801	57	3205	3809	1997	3038	64	1398	75	2100	2015	2534	3119	34	1993	1065	1926	2988	3139	3072	1507	35	75	1096	2979	3829	6463	5142	3111	1041	6147	2954	3097	42	2996	42	1018	3409	9311	1522	3743	3448	2877	1000	3628	1699	1231	3575	3650	2423	42	4504	48	3615	1017	90	1144	1166	37	2574	1929	4112	3108	3953	1576	6769	3310	1020	3616	2440	3088	61	2449	3259	1674	3878	3834	3298	41	8046	4645	53	2134	9222	2792	2172	4722	1882	44	48	2010
GCA_003354265	45472	3244	3513	2273	3946	3269	3204	7235	6615	3451	4231	3121	3444	3700	3675	4929	6079	3145	3356	4023	2371	4553	3130	0	3156	4660	5456	2864	3152	4748	4084	3185	3987	3124	5123	2205	4388	4764	3201	4749	3221	5130	4824	4874	3477	4799	4188	4539	2367	3857	1964	3145	2051	1737	2486	4144	3169	2955	3176	3149	3615	4288	4524	3139	3256	3203	3583	2178	4321	4472	2799	3149	3177	3274	2168	4559	6940	5632	4308	3235	6775	4952	4737	3156	2198	3139	3216	2437	9195	3091	1851	4708	4462	3100	4852	3529	3029	4798	4868	3969	3151	5757	3158	5063	3215	3176	2975	3001	3142	4089	3920	3168	1972	3865	3575	6596	1437	3212	5305	3987	4214	3160	4492	4934	2823	5321	4559	2221	3150	7966	5364	3161	3771	9107	3997	3786	5800	3576	3149	3145	3779
240	45456	1322	1717	3078	2626	4236	1079	7576	6904	1671	3002	58	2324	2182	1953	3755	5332	39	1253	2321	3352	3311	60	3156	0	3229	5344	1400	30	3325	2527	66	2468	29	4596	2609	3100	3815	1592	3171	1210	5316	3567	3620	1679	3327	1676	3702	3040	2852	2827	43	3202	3837	1987	3053	47	1414	85	2131	2036	2564	3140	44	1982	1078	1947	3022	3151	3086	1512	47	85	1131	3011	3840	6495	5149	3124	1077	6188	2971	3115	41	3032	39	1054	3444	9350	1551	3794	3471	2888	1035	3640	1722	1265	3585	3662	2449	53	4514	32	3624	1053	100	1177	1203	47	2586	1944	4139	3097	3953	1604	6805	3341	1056	3628	2468	3109	48	2481	3277	1727	3887	3846	3345	40	8097	4657	37	2154	9247	2809	2196	4779	1906	41	58	2030
GCA_009850125	45702	2758	2302	4417	2006	5625	2822	7985	7408	2473	1312	3207	2799	1953	2113	1447	3677	3217	2961	1823	4381	1218	3215	4660	3229	0	4558	3063	3232	1207	1879	3258	2216	3166	5362	3471	1420	3452	3340	1828	2844	4711	1079	1062	3277	1661	2278	2913	4928	2657	3898	3229	4010	5298	3150	2845	3238	2818	3261	2918	1951	3144	1317	3220	2098	2821	2108	4384	2048	2739	3022	3225	3261	2684	4344	1781	7166	5360	1937	2820	6107	1346	1828	3230	4393	3231	2801	4478	8917	2520	4959	2876	2809	2713	1097	2455	3012	1033	1061	1891	3226	2425	3231	1381	2800	3224	2616	2610	3214	2242	1715	5523	3971	1976	2259	7514	3687	2788	1338	2223	1916	3240	1643	3042	3248	3216	1782	4618	3232	8270	2656	3233	1857	8786	1933	2236	4877	2032	3233	3209	2128
GCA_009849885	45553	5432	5162	5096	4766	5704	5603	8337	8033	5302	4778	5308	5223	4768	5454	4222	5673	5333	5618	4872	4934	4377	5316	5456	5344	4558	0	5252	5344	4161	5120	5370	5103	5301	3038	4181	4721	2669	5384	4043	5606	1098	4246	4263	5691	4573	5332	4227	5114	4012	4263	5363	4189	5511	4842	4805	5340	4911	5369	5310	5158	3715	4657	5330	4496	5602	4959	5090	4624	4656	4329	5337	5370	5510	5064	3932	7549	4019	4676	5615	6834	4778	4336	5341	5071	5331	5596	5037	9097	5508	5224	4105	4569	5539	4307	5296	5586	4202	4247	5045	5326	5336	5349	4487	5595	5353	5466	5465	5331	5041	4910	5614	4189	4841	5518	7581	4860	5591	4385	5110	4397	5348	4694	3231	4479	5174	3941	5614	5343	8398	5576	5345	5159	8970	4809	4945	6578	5275	5342	5312	5172
GCA_016453825	37818	1334	1692	2807	2733	3816	981	6482	6011	1716	2572	1377	2153	2125	1684	3374	4931	1387	1245	2359	2935	3171	1381	2864	1400	3063	5252	0	1396	3246	2413	1425	2484	1341	4370	2602	2734	3777	1395	3531	1190	5119	3377	3427	1538	3101	1948	4066	2866	2852	2603	1391	3038	3726	1121	3128	1410	938	1418	1835	1952	2431	2796	1383	1675	981	1680	2770	3231	3262	1913	1394	1418	1002	2761	3775	5725	4538	3205	970	5614	3107	3136	1395	2788	1397	947	2988	8062	1250	3702	3406	2972	915	3447	1929	1190	3383	3436	2361	1389	4151	1402	3481	946	1363	1096	1070	1389	2528	1976	3726	2972	3487	1384	5907	3326	947	3466	2484	2954	1410	2573	3324	1431	3346	3776	3170	1398	7010	4122	1401	2210	7938	2662	2025	4749	1649	1399	1391	1997
